,phrase,class
0,I'm experiencing a mental health crisis.,medical department
1,I need help with a domestic dispute.,police department
3,"I need a fire extinguisher, there's a small fire in my kitchen.",fire department
4,I see a person who is carrying a weapon in public.,police department
5,I'm having a severe asthma attack.,medical department
6,There's a person who is stuck in a car that has crashed.,fire department
7,I think someone is trying to break into my car.,police department
8,I see a person who has fallen from a height.,emergency services
9,I need help evacuating my home due to a natural disaster.,emergency services
10,I see a person who is experiencing a heart attack.,medical department
11,I'm stuck in a public restroom stall.,fire department
12,There's a person who is causing a disturbance in a public place.,police department
13,I'm experiencing a severe headache and dizziness.,medical department
14,I see a person who is trapped in a collapsed building.,emergency services
15,I think my house is being burglarized right now.,police department
16,There's a person who is having a severe asthma attack.,medical department
17,I'm locked out of my house and I don't have a spare key.,fire department
18,I see a person who is trapped in a river or body of water.,emergency services
19,I think I'm having a severe allergic reaction to something I ate.,medical department
20,There's a person who is driving erratically and dangerously on the road.,police department
21,I need help extinguishing a small fire in my backyard.,fire department
22,I see a person who is experiencing a severe burn.,medical department
23,There's a person who is causing damage to public property.,police department
24,I'm experiencing a severe toothache and I can't sleep.,medical department
25,I see a person who is in a car accident and is injured.,medical department
26,There's a person who is harassing me and won't leave me alone.,police department
27,I need help finding a lost child or elderly person.,police department
28,I see a person who is having a severe allergic reaction to a bee sting.,medical department
29,There's a person who is selling drugs in my area.,police department
30,I'm experiencing severe abdominal pain.,medical department
31,I see a person who is trapped in a collapsed mine or tunnel.,emergency services
32,There's a person who is making threats against a school or other public place.,police department
34,I see a person who is experiencing a severe asthma attack.,medical department
35,There's a person who is driving under the influence of drugs or alcohol.,police department
36,I'm experiencing severe back pain and I can't move.,medical department
37,I see a person who is trapped in a cave or other enclosed space.,emergency services
38,There's a person who is causing a disturbance at a peaceful protest or demonstration.,police department
40,I see a person who is experiencing a severe allergic reaction to medication.,medical department
41,There's a person who is trespassing on private property and causing damage.,police department
42,I'm experiencing severe chest pain and shortness of breath.,medical department
43,I'm experiencing a mental health crisis.,medical department
44,I need help with a domestic dispute.,police department
45,There's a person who is trespassing on my property.,police department
46,I see a person who is experiencing a drug overdose.,medical department
47,My house has been broken into.,police department
48,There's a person who is unconscious.,medical department
49,There's a person who is experiencing a heart attack.,medical department
50,There's a person who is in need of CPR.,medical department
51,My car has been in an accident.,police department
52,I'm experiencing a severe headache.,medical department
53,There's a person who is having difficulty breathing.,medical department
54,I see a person who is in need of first aid.,medical department
55,I'm being threatened with a weapon.,police department
56,My child is choking.,medical department
57,There's a person who is having a diabetic emergency.,medical department
58,I see a person who is in need of a defibrillator.,medical department
59,My car has caught on fire.,fire department
60,I'm experiencing a severe asthma attack.,medical department
61,There's a person who is having a seizure due to epilepsy.,medical department
62,There's a person who is experiencing a severe allergic reaction to a bee sting.,medical department
63,I see a person who is in need of mental health support.,medical department
64,My house has been damaged due to severe weather conditions.,emergency services
65,I'm experiencing severe abdominal pain.,medical department
66,There's a person who is experiencing a severe nosebleed.,medical department
67,I see a person who is experiencing a stroke.,medical department
68,There's a person who is in need of insulin due to diabetes.,medical department
69,I'm experiencing a severe burn.,medical department
70,There's a person who is experiencing a severe asthma attack.,medical department
71,There's a person who is experiencing a drug overdose.,medical department
